t	I(t)	l(t)	F(t)
0.00	0.300000	0.010100	0.001878
5.00	0.307500	0.010095	0.001974
10.00	0.315000	0.010090	0.002073
15.00	0.301500	0.010086	0.001900
20.00	0.301500	0.010082	0.001900
25.00	0.301500	0.010078	0.001901
30.00	0.301500	0.010074	0.001902
35.00	0.301500	0.010070	0.001902
40.00	0.297750	0.010067	0.001856
45.00	0.290250	0.010064	0.001764
50.00	0.282750	0.010061	0.001675
55.00	0.275250	0.010064	0.001587
60.00	0.267750	0.010067	0.001501
65.00	0.298500	0.010070	0.001865
70.00	0.298500	0.010074	0.001864
75.00	0.298500	0.010078	0.001863
80.00	0.298500	0.010082	0.001863
85.00	0.298500	0.010086	0.001862
90.00	0.302250	0.010090	0.001908
95.00	0.309750	0.010095	0.002003
100.00	0.317250	0.010100	0.002100
