t	I(t)	l(t)	h(t)	F(t)
0.00	0.100500	0.010000	0.005000	157.865031
0.01	0.100505	0.010100	0.005050	156.309787
0.02	0.100510	0.010200	0.005100	154.785038
0.03	0.100515	0.010300	0.005150	153.289896
0.04	0.100520	0.010400	0.005200	151.823507
0.05	0.100525	0.010500	0.005250	150.385048
0.06	0.100530	0.010600	0.005300	148.973731
0.07	0.100535	0.010700	0.005350	147.588793
0.08	0.100540	0.010800	0.005400	146.229502
0.09	0.100545	0.010900	0.005450	144.895153
0.10	0.100550	0.011000	0.005500	143.585064
0.11	0.100555	0.011100	0.005550	142.298581
0.12	0.100560	0.011200	0.005600	141.035070
0.13	0.100565	0.011300	0.005650	139.793923
0.14	0.100570	0.011400	0.005700	138.574550
0.15	0.100575	0.011500	0.005750	137.376383
0.16	0.100580	0.011600	0.005800	136.198875
0.17	0.100585	0.011700	0.005850	135.041494
0.18	0.100590	0.011800	0.005900	133.903731
0.19	0.100595	0.011900	0.005950	132.785089
0.20	0.100600	0.012000	0.006000	131.685092
0.21	0.100605	0.012100	0.006050	130.603276
0.22	0.100610	0.012200	0.006100	129.539195
0.23	0.100615	0.012300	0.006150	128.492417
0.24	0.100620	0.012400	0.006200	127.462521
0.25	0.100625	0.015000	0.006250	105.374254
0.26	0.100630	0.015200	0.006300	103.992917
0.27	0.100635	0.015400	0.006350	102.647460
0.28	0.100640	0.015600	0.006400	101.336501
0.29	0.100645	0.015800	0.006450	100.058732
0.30	0.100650	0.016000	0.006500	98.812906
0.31	0.100655	0.016200	0.006550	97.597842
0.32	0.100660	0.016400	0.006600	96.412414
0.33	0.100665	0.016600	0.006650	95.255550
0.34	0.100323	0.016800	0.006700	93.802066
0.35	0.100318	0.017000	0.006750	92.693846
0.36	0.100313	0.017200	0.006800	91.611399
0.37	0.100308	0.017400	0.006850	90.553835
0.38	0.100303	0.017600	0.006900	89.520307
0.39	0.100298	0.017800	0.006950	88.510005
0.40	0.100293	0.018000	0.007000	87.522153
0.41	0.100288	0.018200	0.007050	86.556013
0.42	0.100283	0.018400	0.007100	85.610876
0.43	0.100278	0.018600	0.007150	84.686064
0.44	0.100273	0.018800	0.007200	83.780929
0.45	0.100268	0.019000	0.007250	82.894849
0.46	0.100263	0.019200	0.007300	82.027230
0.47	0.100258	0.019400	0.007350	81.177499
0.48	0.100253	0.019600	0.007400	80.345110
0.49	0.100248	0.019800	0.007450	79.529537
0.50	0.100242	0.020000	0.007500	78.730275
0.51	0.100237	0.020200	0.007550	77.946841
0.52	0.100232	0.020400	0.007600	77.178768
0.53	0.100227	0.020600	0.007650	76.425608
0.54	0.100222	0.020800	0.007700	75.686933
0.55	0.100217	0.021000	0.007750	74.962328
0.56	0.100212	0.021200	0.007800	74.251394
0.57	0.100207	0.021400	0.007850	73.553749
0.58	0.100202	0.021600	0.007900	72.869023
0.59	0.100197	0.021800	0.007950	72.196862
0.60	0.100192	0.022000	0.008000	71.536921
0.61	0.100187	0.022200	0.008050	70.888871
0.62	0.100182	0.022400	0.008100	70.252393
0.63	0.100177	0.022600	0.008150	69.627181
0.64	0.100172	0.022800	0.008200	69.012937
0.65	0.100167	0.023000	0.008250	68.409375
0.66	0.100162	0.023200	0.008300	67.816220
0.67	0.104748	0.023400	0.008350	70.315499
0.68	0.104884	0.023600	0.008400	69.810023
0.69	0.105023	0.023800	0.008450	69.315048
0.70	0.105165	0.024000	0.008500	68.830332
0.71	0.105310	0.024200	0.008550	68.355639
0.72	0.105458	0.024400	0.008600	67.890744
0.73	0.105610	0.024600	0.008650	67.435426
0.74	0.105764	0.024800	0.008700	66.989472
0.75	0.105922	0.032500	0.008750	51.194367
0.76	0.106083	0.032800	0.008800	50.803231
0.77	0.106247	0.033100	0.008850	50.420742
0.78	0.106415	0.033400	0.008900	50.046681
0.79	0.106586	0.033700	0.008950	49.680836
0.80	0.106760	0.034000	0.009000	49.323005
0.81	0.106938	0.034300	0.009050	48.972990
0.82	0.107119	0.034600	0.009100	48.630601
0.83	0.107303	0.034900	0.009150	48.295657
0.84	0.107492	0.035200	0.009200	47.967979
0.85	0.107683	0.035500	0.009250	47.647396
0.86	0.107878	0.035800	0.009300	47.333745
0.87	0.108077	0.036100	0.009350	47.026864
0.88	0.108279	0.036400	0.009400	46.726599
0.89	0.108485	0.036700	0.009450	46.432801
0.90	0.108695	0.037000	0.009500	46.145326
0.91	0.108908	0.037300	0.009550	45.864033
0.92	0.109125	0.037600	0.009600	45.588787
0.93	0.109346	0.037900	0.009650	45.319457
0.94	0.109571	0.038200	0.009700	45.055916
0.95	0.109799	0.038500	0.009750	44.798040
0.96	0.110032	0.038800	0.009800	44.545711
0.97	0.110268	0.039100	0.009850	44.298813
0.98	0.110508	0.039400	0.009900	44.057233
0.99	0.110752	0.039700	0.009950	43.820863
